0.15   4.47   0.17    3
0.38   10.23  0.17    4
0.51   13.36  0.21    4
0.70   17.86  0.33    4
0.85   18.33  0.60    3
1.48   30.69  0.80    4
2.33   37.6   1.9     4
2.33   37.3   1.7     4
0.38   25.0   0.76    5
0.51   22.33  0.58    5
0.70   19.33  0.53    5
1.48   13.26  0.50    5
2.33   8.93   0.28    5
2.33   9.08   0.34    5
